순위,단어,빈도,,,
205,문재인,29,,,
206,바이든,29,,,
207,상황,29,,,
208,열등감,29,,,
209,유행,29,,,
210,인도,29,,,
211,거리,28,,,
212,누구,28,,,
213,다행,28,,,
214,번,28,,,
215,빨,28,,,
216,언급,28,,,
217,외국,28,,,
218,이름,28,,,
219,인류,28,,,
220,입,28,,,
221,지배,28,,,
222,최근,28,,,
223,문명,27,,,
224,문화유산,27,,,
225,바이러스,27,,,
226,발전,27,,,
227,변국,27,,,
228,섭종,27,,,
229,시발,27,,,
230,시장,27,,,
231,실제,27,,,
232,웃기,27,,,
233,죽,27,,,
234,지역,27,,,
235,한글,27,,,
236,가면,26,,,
237,경우,26,,,
238,금지,26,,,
239,기억,26,,,
240,모습,26,,,
241,부분,26,,,
242,신고,26,,,
243,영토,26,,,
244,옛날,26,,,
245,오늘,26,,,
246,왜곡,26,,,
247,인민,26,,,
248,중국몽,26,,,
249,중국산,26,,,
250,증거,26,,,
251,짓거리,26,,,
252,출시,26,,,
253,파룬궁,26,,,
254,행동,26,,,
255,느낌,25,,,
256,뜻,25,,,
257,물,25,,,
258,뿌리,25,,,
259,얘기,25,,,
260,예전,25,,,
261,일이,25,,,
262,자국,25,,,
263,자료,25,,,
264,중화,25,,,
265,폐렴,25,,,
266,피해,25,,,
267,감,24,,,
268,공안,24,,,
269,무시,24,,,
270,미세먼지,24,,,
271,반중,24,,,
272,본인,24,,,
273,삼국지,24,,,
274,아무,24,,,
275,원나라,24,,,
276,전체,24,,,
277,지식,24,,,
278,타이완,24,,,
279,호감,24,,,
280,근거,23,,,
281,당,23,,,
282,대응,23,,,
283,라이엇,23,,,
284,민주당,23,,,
285,박살,23,,,
286,외교,23,,,
287,조국,23,,,
288,티벳,23,,,
289,포함,23,,,
290,한마디,23,,,
291,러브,22,,,
292,말씀,22,,,
293,분열,22,,,
294,사랑,22,,,
295,자막,22,,,
296,자유,22,,,
297,참고,22,,,
298,채널,22,,,
299,한반도,22,,,
300,해외,22,,,
301,황제,22,,,
302,그때,21,,,
303,기록,21,,,
304,기모노,21,,,
305,김,21,,,
306,당시,21,,,
307,당신,21,,,
308,라면,21,,,
309,레전드,21,,,
310,마음,21,,,
311,무역,21,,,
312,배,21,,,
313,비판,21,,,
314,사진,21,,,
315,아이돌,21,,,
316,어이,21,,,
317,여러,21,,,
318,정책,21,,,
319,진심,21,,,
320,출신,21,,,
321,트럼프,21,,,
322,프리,21,,,
323,행위,21,,,
324,고대,20,,,
325,기분,20,,,
326,눈,20,,,
327,당장,20,,,
328,똥,20,,,
329,미원,20,,,
330,반대,20,,,
331,사회,20,,,
332,서버,20,,,
333,세기,20,,,
334,수도,20,,,
335,악,20,,,
336,어그,20,,,
337,우린,20,,,
338,위구르,20,,,
339,유럽,20,,,
340,인기,20,,,
341,점,20,,,
342,정상,20,,,
343,침략,20,,,
344,탈퇴,20,,,
345,패,20,,,
346,현실,20,,,
