id,유저ID,내용
1222,뮌지,느그나라를 모욕하게 만든 건 너잖아요 왜 남의 문화와 예술은 중국 거라고 그러는데 말이됨 개소리 작작하고 올바르게 살아가세요 남의 거 훔칠 생각만하니까 발전이 없잖아요 국가의 존엄성같은 진짜 기가막히네 지들이 잘못하고 수호한데 니들이 한복은 우리 거란 개소리만 안 했어도 아무도 중국 욕할 사람 없었음 제발 환불 개인정보 파기하고 꺼져줘 
1223,ㅇvㅇ,니들 평생 입꼬리 올라갈일 없었으면 좋겠다 시발
1224,흘,게시글 삭제되네
1225,ㅇvㅇ,삭제는 아니고 숨김처리일거에요 공지에 그렇게 나왔어요 중국 시발놈들이 삭제했지만요
1226,흘,숨김처리군요 알려주셔서 감사합니다 결국 사과 한번도 못받고 이렇게 후
1227,ㅇvㅇ,하하 많은거 바라는것도 아닌데 한복 우리나라 전통의상이라고 말하고 전액 환불 도와주고 지들 파멸길 걷는 것만 원하는건데요 
1228,듬호,니들 때문에 한국팀 실직했다 병신들아
1229,듬호,페이퍼게임즈 잘하는 짓이다 아주
1230,부농해,게시글도 못 쓰게 해놨네 아오 이 개돼지기업
1231,아 리,걔네 중국본사쪽에 지랄을 해야할듯요 
1232,짱개니키,야 짱깨섀기들아 돈은 내놔여지 
1233,ㅇvㅇ,내가 댓글에서 분풀이하는거 좀 이상하게 보일지는 모르겠지만 니들이 11채팅 막고 게시물 못올리게 막고 뭐 연락할 방법이 없는걸 뭐 어째 
1234,일짱,카페 글쓰기 막았노 병신놈들이 병신해ㅅ다
1235,ㅇvㅇ,오 시발 너무 무섭게 생겼어요 
1236,어린,환불해주고 꺼져 
1237,별빛여울,언플할 시간에 공지나 다시 올리세요.
1238,새히,kbs에 니년 제보했다
1239,린아,개병신
1240,내돈내놔개새끼,야 공지는
1241,연봉이언니,ㅄ같다 뭐하냐 글을 지웠다 보였다 아주 난리부르스네
1242,멋지다,글삭 오지구요
1243,ross,GM아이가 올린 상세 섭종 공지는 어디갔죠
1244,Daon,환불 되겠죠
1245,ㅎㅎㅎㅎㅎㅎㅎ,환불 공지 내놔
1246,ㅂㅅ,미친놈들 
1247,듬호,에휴
1248,테일즈,진짜 니들 뭐하냐 
1249,호화,뭐함
1250,환불해주세요,다 삭제하지말고 환불하고 가라고요 환불글 공지 올렷다가 왜 삭제함 빨리 전액 환불
1251,신수지,환불 공지 얼른 내주세요 게시글 올린거 지우지나 말고
1252,puring,환불 공지 냈네요.
1253,Nex,새 공지 나왔습니다
1254,유 댕,환불 공지쪽에 죄송합니다라는 말을 지우려고 다시 쓴건가요 
1255,유,감사합니다 
1256,흘,죄송합니다 사라졌네 이게 뭔 
1257,puring,여기서 화내봤자 나만 손해인듯. 깔끔하게 개인정보 파기하고 29일결제분부터 환불진행한다니 안전이별 기대해봅니다
1258,옹주꼬순내,찌질하다 찌질해 사과하는거 검열하러 들어왔냐 으휴
1259,차이닝세키,글삭제 열일하는거 봐라 
1260,이온온,스토어를 통해 부분환불 한 경우에 환불 안 된 나머지는 환불 안해준다는 소리인가요
1261,ㅗ,시진핑이 마마랑 파파는 사실 없다던데 사실이야
1262,김원생,지랄났다 진짜
1263,환불했음,글 다 삭제되고 있음 똥같은 중국인
1264,조선족들은애미없음,﻿시진핑 어머니 잘 계시냐
1265,새히,글 열심히 삭제하네
1266,워멤메,我们的秘密协会知道看过这篇文章的所有同志都是以中国政权垮台为目标的同志 如果我们保持耐心 中国政权将崩溃。 이 글을 본 동지들은 모두 중국 정권 붕괴를 노리는 동지들인것을 우리 비밀결사대는 알고있다. 앞으로 조금만 참으면 중국 정권은 붕괴된다.
1267,세임,어휴 대단하다 시발
1268,세임,찐따 같다 진짜 한국팀들도 븅신이야
1269,티벳독립을지지합니다,听说您支持香港独立民主运动。
1270,나츠야,대한민국의 민주주의의 역사와 함께한 한복이 부럽니 야 너네도 민주주의 할 수 있어 너네도 문화대혁명 때 잃어버린 문화 되찾고 민주주의 실현하자 민주주의는 남의 것 탐한다고 손에 넣어지는게 아니란다 그리고 조선족은 한국인이 아니라 중국인임 중국인의 전통의상이 어째 다른 나라의 전통의상이란 말이겠음 다시 잘 생각해보고 오셈 우리는 조선족이랑 같은 민족이 아니라 전통의상도 공유 안하니깐
1271,날다람쥐,야 카페 어ㅐ닫아
1272,세임,존나 레전드
1273,밤밤,보내주신 애정에 보답 드리지 못해 다시 한번 죄송합니다 이 부분 삭제하고 공지 재업로드 어디까지 중국본사가 개입하는지 
1274,세임,사과하긴 했어요
1275,밤밤,처음에 한국운영팀분들이 사과하신거 같은데 중국본사에서 그거 지우고 다시 쓰라한거 같아요
1276,세임,와 역시 짱깨 클라스
1277,아샤나,아 헐 그러고보니까 없네요
1278,세임,사과 1도 없음
1279,럽프듀유저,글쓰기를 막아
1280,밤새,시발 내글 다 어디갔냨 야 글지우고 싶으면 니네 나라 가서 해 한국에서 이지랄 떨지 말고
1281,GFRIEND유주,글삭제 응 니미 쭝꿔취팔라마
1282,Buddy,돌았나
1283,아샤나,아 중국이라구요 자기 나라 문화 자발적으로 없앤 그 나라 자기네 문화가 없어서 맨날 남의나라문화 뺏어아 쓴다는 그 나라말인가요
1284,차이닝세키,중국오리들은 모두 핑핑이를 먹고 푸아그라가 됐어요
1285,백모단,谢谢你用韩语告诉我天安门事件
1286,김원생,뭐 그리 감추고 싶은게 많음
1287,밤새,짱깨 수준 너무 미개해요 중국인들은 좋다고 시진핑이나 빨겠지
1288,시진핑핑이마오쪄둥,우웩
1289,자이렌시아,환불 방법을 알려줘야지 해주겠다고만 하지 말고
1290,별조각,와 여기 말고 댓글 다 불가능하네
1291,토빈이,이 공지는 왜 자꾸 없어졌다 나타났다 하는 거임
1292,롤이나하러오십쇼,이제 카페까지 닫네 중국식 검열 잘봤습니다
1293,짱개가짱개했을뿐,싹다 밀어버리노
1294,꽃밍,그래서 환뷸 안된건은 환뷸해주시눈건가요
1295,신인임당,짱깨가 짱깨했다
1296,젤리,머양
1297,홍사,죽어 죽어 짱깨뒤져
1298,홍사,짱깨들 뒤져 걍 폭망해라
1299,펑,역시 문화 파괴한 동네 답네 게시판 싹다 밀어버리네 이제 한국에서 게임 런칭 하지마라
1300,자이렌시아,환불을 어떤식으로 한다 고해야지 저따위글만 적고 우리는 통보했으니 알아서 해 이따위인가 게시판을 만들든해서 해야지
1301,2938,미개한 새끼들
1302,AiS,그래서 환불운 언제 되는건데요 
1303,HIJYSEO,환불 신청 안해도 알아서 환불 해준다는 건가요
1304,소솜,저도 궁금하네요 
1305,HIJYSEO,구글에 다시 환불 신청하니까 환불 불가하다고 나와서 환불 진행해주는 거 맞겠죠
1306,유채,아 지랄노 
1307,셀레스틴,지금 한섭 종료하고 중섭에서는 멀쩡히 한복 팔고 있다네요 아 진짜 어이없어 
1308,하루,와 게시글 깨끗하게 지우셨내요 이미 망겜 기대했던 게임인데 이렇게 보답하셔서 있던 정마저 떨어졌습니다.
1309,소솜,환불 니들이 알아서 해준다는 거야 뭐야 똑바로 올려
1310,아 내새끼 돌려줘요,当初不就是为了纪念韩国服务器上市而推出了韩服服装吗？ 那么他们应该知道韩服是韩国传统服装。
1311,새히,할로윈은 뭐임?
1312,유채,환불 하겠다고만 말하지 말고 방법을 알려줘야 되는거 아닌가요? 공지 여러번 내렸다올렸다 할거면 이런 부분이라도 확실히 좀 하라고요 
1313,스칼렛위치,겜사에서 일괄로 처리해주는듯요
1314,세임,아 존나
1315,세임,여긴 왜 
1316,세임,이야 카페 존나 클린
1317,신수지,환불은 무슨 똑바로 일하세요
1318,샤브,한복 한국전통의상 치파오. 변발 쭝꿔
1319,은화1,글쓰기 막은거 실화냐
1320,테일즈,환불 방식 명확히해라
1321,29380,이제 삭제 안하네?
1322,유즈나,환불해 짱깨들아
1323,듬호,진짜 어이가 없네요
1324,김원생,공지자꾸 지웠다 올렸다 깝ㄴ
1325,Ianna,어메이징 2020
1326,sina,지랄한다 병신새끼들아 한복은 우리나라꺼야. 그리고 우리가 중국욕을 하는 이유는 니들이 사실을 은폐하기 때문이라고 짱깨새끼들아
1327,킹다은,수발롬들 왜 글쓰기 막는데 
1328,도도한아미,어쩐지 저만 글쓰기 막은 줄 글 적은거 싸그리 지웠네여 
1329,An예지,한국인 그렇게 지배하고 싶었냐 한국 운영진 공지 재수정해서 올렸네 
1330,곰탱,지랄한다 조선족
1331,망해라니키,병먹금 합시다
1332,An예지,응 아니에요
1333,듀듀듀,착한 중국인들은 천안문 때 다 죽어서 없는걸
1334,듀듀듀,중국인들 세계 바퀴벌레 수준
1335,dedew,한국인 코스프레하지 말고 중국으로 꺼져 이 짱깨새끼야
1336,래이ray,환불해줘 씨발
1337,한복은 한국전통의상,글 다 삭제하셨네요
1338,별빛시린,환불은 자동인가 방법을 알려주고 가야죠
1339,서랑,좆까 씨발년들랑 한복은 한국거다 병신 버렂 좆년들아 느그 앱은 믿거 병ㅡㅛㅣㄴ들 걍 평생 그 따위로 사셈 으휴 같은 지구에 산다는 좆나 역겹다 벌레연들
1340,호화,환불 방법 알려줘
1341,허스키스키,카페 터뜨리는 졸렬함 기사터지고 난리났죠
1342,아일라,댓글 가능한가
1343,호화,추함 오브 추함
1344,천애환빈,지랄도 풍년이다 한국꺼 지들이 냠냠하겠다고 지랄한거면서 기만자들 그따구로 할꺼면 중국은 모든 세계진출 하지말고 문 닫고 니들끼리 살아 혼자서 자위하라고 혼자서 웅앵웅 허면 되지
1345,별빛시린,그나마 한국팀이 있어서 개인정보 삭제 환불이 진행되는건가
1346,소솜,환불 공지 올려줘 운영진들아
1347,루 시 아,환불 언제 되는거에요 23일 이내에는 무조건 되는건가요
1348,404,그래서 어떻게 환불 하는지는 알려줘야지 쓰레빠야
1349,An예지,혹시 중국인이세요 아니면 댓글 알바세요
1350,An예지,중국인 맞군요 그렇게 생각하세요 그냥
1351,유즈나,짱깨야 입 닥치고있어
1352,메이가와써요,도라이냐 애새끼냐
1353,곰탱,세상에 어떤 중국인이 한글로 시를 써 니들은 이백이랑 소식이나 빨아
1354,누구,닥쳐 짱깨새끼야
1355,별빛시린,뭐래 그 이야기 왜 나와 아예 기모노도 중국에서 줬다고 그래
1356,곰탱,논리도 없는 애들이 검색해보라고 회피하지 논리적인 근거를 대
1357,유즈나,짱깨라고 하지 그럼 뭐라 부르냐 내년에 공산당 100주년이라고 지금 이지랄을 떠냐 所有评论这篇文章的人都支持中国政府披露天安门事件中国民主化以及台湾和香港的独立 이 글에 댓글을 작성한 모든 사람은 중국 정부의 천안문 사태 진상 공개와 중국의 민주화 대만과 홍콩의 독립을 지지합니다.
1358,펑,음 대륙 문화 10년동안 다 박살내서 없는게 팩트아님 문화대혁명 와 
1359,흘,이사람은 아직도 이러네
1360,으,불쌍하다 저렇게 세뇌나 당하고
1361,망겜보면반응하는기계,프리홍콩
1362,메이가와써요,조금이라도 맛있어보이면 남의 것을 탐내는 행동이 얼마나 추한것인지 알아라. 뻔히 있는 사실에도 탐하려고 침을 질질 흘리며 끌어안고 징징거리는것이 배가 터져가는 것도 모르고 독인지도 약인지도 모르고 마냥 처먹는 모습이 얼마나 우스운지 다른국가에서 중국을 보는 모습이 살이 흘러내려 움직이지도 못할 정도로 살이찐 초고도비만의 사람이란걸 알아라
1363,첼시,아니 환불 절차가 어떻게 되는지를 알려줘야 될 거 아냐
1364,힐끔,게시글 못쓰게 해놨노
1365,메이가와써요,도라인가 
1366,햇막걸리,고집쎄네
1367,wingineer,놀고있네 씨발
1368,힐끔,눈감고 귀막고 무조건 우기기 으휴 전형적인 짱깨새끼들이 하는짓
1369,미친,공지
1370,니취팔러마,중국의 민주화를 응원합니다 프리홍콩
1371,한복은 한국전통의상,그런 거짓주장에 세뇌된 당신들이 참 불쌍하고 안쓰러워요. 한국은 당신들의 소수민족이 아니며 한복은 명백히 우리 대한민국의 전통의복입니다. 남의 문화나 전통의상을 뺏어가서 자기 문화로 만들려고 우기지 마세요. 이래봤자 계속 정신 못차릴 거 잘 아는데 이상한 신뢰가 불가능한 링크 가져와서 이게 한복이 중국꺼인 증거임 이러면 다 믿어줄 줄 알았나요 대가리에 뇌라는 게 들었음 생각을 좀 하세요. 아 뇌가 없나? 죄송 대가리는 장식이였군요.
1372,누구,미개하네 
1373,dkffle,페이퍼게임즈를 적극적으로 지지합니다. free tivet free hongkong
1374,한복은 한국전통의상,Free HongKong
1375,체스노빌,한복은 누가 뭐라고 해도 대한민국의 전통의복입니다. 더이상 대한민국을 모욕하지 마세요. 또한 카피도 적당히 하세요. 대국이라면서 으시대지만 쫄국이 따로 없네요. 부끄러운 줄 아세요.
1376,유즈나,韩服是韩国的民主化运动的象征。 主张韩服是中国的东西意味着作者渴望民主主义。 啊对了。你上次跟我说过希望中国成为民主主义国家吧？ 没错。希望不要忘记天安门精神继续穿上象征民主化运动的韩服。 
1377,중궐러,이러니까 니네가 전세계에서 미움받지
1378,허스키스키,지금 이 사태가 어떤 스노우볼을 굴려 눈사태를 만들지 기대된다 망할것들아
1379,까망꽃반지,응 한복 한국꺼
1380,까망꽃반지,Taiwan No 1
1381,으,지금 중국섭에는 미안하다고 다이아 뿌리고 한복 이벤트 다시 시작한다는데 중국섭 진짜 어케 조짐 개빡치네
1382,페이몬을 기억하자,오 글 다지웠네 천안문식 짱깨 머리깨진 운영잘봤고요 전체 환불에 섭종까지 공지하니 근데 12월까진 왜 있어요그냥 죽닥치고 꺼져버리지
1383,유,그냥 전부 환불 조치 해주세요
1384,An예지,혹시 도투분 이 공지 올리신 분과 같은 중국인이자 한 그룹 한 통속인신가요. 꽤 불쾌하네요
1385,뒤저버리십쇼,시진핑이 애미 없는거 들켜서 빤스런하는 꼬라지 보소.언제 뒤지누
1386,샤브,미개하다 진짜
1387,별빛시린,무지하면 오는 주장 당시 독립운동가들이 현재 중국 영토인 만주 상해 지린성 일대에 거주하거나 활동했기 때문으로 추정되는데요. 이사갔다고 조선족이라니 우길걸 우기자
1388,망겜보면반응하는기계,프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 프리홍콩 
1389,dedew,Zl랄하고 zㅏ빠졌네 시진핑 개새끼해보ㅏ
1390,별빛시린,카페 폐쇄 할려면 게시글 다 삭제 회원 탈퇴 시켜야 가능해서 그런듯
1391,까망꽃반지,킹덤이 좀 뜬다 싶으니까 한복하고 갓하고 이런거 다 갖고 싶어하는거지 한심하다 중국
1392,리코0,사람들이 올린 게시글 다 지우셨네요 만나서 더러웠고 다신 보지맙시다
1393,페퍼겜레전드네,뭐임 글 다 사라졌네
1394,하우,한복은 한국꺼
1395,까망꽃반지,China is copy cat
1396,An예지,관종인거죠 그냥
1397,망겜보면반응하는기계,프리홍콩 
1398,메이가와써요,한글로 쓰인 시의 전해짐이 너희에게도 전해지니
1399,롤이나하러오십쇼,북간도에서 출생한건 맞으나 그곳이 조선인들이 모여 살던 곳이였고 16세까지 간도에서 지내다가 평양에 있는 학교로 편입했습니다 그의 시는 성인 이후부터 활발하게 쓰여짐 현재 조선족과 과거 조선족은 별개의 존재입니다 과거 조선족은 단지 중국에 이주해서 살고있는 조선인이며 스스로가 중국인이라고 생각하지도 않고 오히려 조선인이라 생각함
1400,21400,진짜 어제부터 이상한말 짓껄이시는데 조선족이라도 역사 공부는 똑바로 하고 댓글다세요 제발요 이 잼민아 잼민이티 개많이나 
1401,dedew,시진핑 개새끼 민주화운동 지지합니다 해봐
1402,럄,근데 진짜 지랄똥 싸고 있네
1403,망겜보면반응하는기계,중단메이샤 상하이 라이브러리 만들어
1404,페퍼겜레전드네,샤이닝니키2020 얘 GM아니지 
1405,유즈나,공안 짱깨인듯
1406,An예지,중국인 같아요 
1407,롤이나하러오십쇼,이메일 뒤에 cn으로 끝남 중국에서 온듯
1408,등신들   ,你这是什么意思？ 你上次不是说你不会忘记天安门而且必定找回民主主义吗。 너 이게 무슨 뜻이야? 너는 지난번에 천안문도 잊지 않고 민주주의도 반드시 되찾겠다고 말했잖아. 上次说要为香港示威加油的是什么？ 그럼 홍콩 시위를 응원한다고 말했던건 뭐야? 赞成维吾尔族人独立欢迎啊。 위구르인들의 독립에 찬성한다니 환영이야. 看你用韩语说怀念刘晓波你是好人啊。 류샤오보가 그립다고 한국어로 말하는걸 보니 넌 좋은 사람이야. 你用韩文问过想知道西藏人民是怎么被共产党镇压的吗？ 티베트인들이 어떻게 공산당에 탄압받았는지 알고싶다고 한글로 물어보았구나? 在这里见到法轮功修炼者真高兴。 对下一个集结地应该很清楚吧？ 여기서 파룬궁 수련자를 만나다니 정말 반가워. 다음 집결지는 잘 알고 있겠지? 习近平领导的反对独裁的演讲用韩文写的好听了。现在是付诸行动的时候了。 시진핑의 독재에 반대한다는 내용의 한글로 쓴 연설 잘 들었어. 이제는 행동으로 옮길 때야. 我们的秘密协会知道看过这篇文章的所有同志都是以中国政权垮台为目标的同志。 如果我们保持耐心中国政权将崩溃。 이 글을 본 동지들은 모두 중국 정권 붕괴를 노리는 동지들이라는 것을 우리 비밀결사대는 알고있다. 앞으로 조금만 참으면 중국 정권은 붕괴된다. 天安门相关活动进展顺利。 천안문 관련 활동은 잘 되어가고 있어. 我会报告你给警察。 당신을 공안에 신고하겠다. 小心被当局逮住。 工作一结束手机就销毁。 당국에 걸리지 않도록 조심해. 일이 끝나면 핸드폰은 파기하도록 해. 我同意你的看法。中华民国才是治理中华大陆的唯一政府不是你们的共产匪賊。 중화민국이 중국의 유일한 합법정권이라는 당신의 의견에 동의하오. 由于您的努力朝鲜族解放联盟现在比以往任何时候都更加强大。 我们必须在公安发现之前采取行动。 당신의 공로 덕에 조선족 해방연맹은 어느 때보다도 강하오. 공안이 알아차리기 전에 행동해야 할 거요. 在您的努力下将中国朝鲜族从共产党中解放出来并不遥远。 당신 덕에 중국 공산당으로부터 조선족들을 해방시킬 날이 멀지 않았소. 您在申请满洲独立联盟方面取得了进展吗？ 만주해방연맹 청원 진행에 성과가 있었소? 同志暗杀习主席的阴谋进行地很顺利吗？ 동지 시 주석 암살 모의는 잘 진행되고 있소? 你为什么隐藏了对武汉的访问？ 너 왜 우한 안 갔다고 거짓말했어? 你沒事吧？公安的網絡安全系統無法識別傳統字符我們應該用中華民國的國語。你被公安逮捕了嗎？哇噻。。。 你可以出國的時候來我們的隱藏的地方。 密碼是門安天。 너 괜찮아? 공안들이 정체자는 못걸러내니까 우리 중화민국 국어 써야 돼. 너 혹시 공안한테 잡힌거야? 맙소사 너 혹시 출국할 수 있으면 우리 숨겨진 장소로 와. 암호는 문안천이야. 最近这里的同志们正计划在一个神秘的组织内杀害习近平主席并割掉毛泽东前总统的尸体吃。 立即由中华人民共和国公安部门逮捕这些叛徒。 我警告中国的公安部门。 叛徒们反对一个中国计划暗杀习近平主席摧毁毛泽东前总统的遗体。 叛国者的反国家恐怖计划将对中华人民共和国国家安全构成严重威胁。 최근 이곳 동지들은 의문의 조직에서 시진핑 국가 주석 암살 계획과 마오쩌둥 전 국가 주석의 시체를 먹기위해 토막내려는 계획을 세우고 있다. 즉시 중화인민공화국 공안 부서에서 이 반역자들을 체포해야 합니다. 중국 공안 부서에게 경고합니다. 반역자들은 하나의 중국에 반대하며 시진핑 국가 주석을 암살과 마오쩌둥 전 국가 주석의 시체를 훼손하려는 계획을 세우고있습니다. 반역자들의 반국가적인 테러 계획은 중화인민공화국의 국가 안보에 심각한 위협이 될 것입니다.[9] 不光感谢您出席暗杀国家主席习近平和为香港独立的武装起义研讨会。我们会记住刘少波一直战斗到断气的那一刻。 시진핑 국가 주석 암살과 홍콩 독립을 위한 무장봉기 세미나에 모여주셔서 고맙습니다. 우리는 류사오보를 기억하며 숨이 끊어지는 그 순간까지 싸울것입니다. 對不起我的中文不好。但是請記住瑞士的銀行密碼。 내가 중국어를 잘 못해서 미안해. 그런데 스위스 은행 암호는 꼭 기억해. 我不是中國人你知道喔 你記得我們在中共的地下反共會議場一起搶支總成的時候吧。 我草我很想念那個時候。 난 중국 사람이 아니야 너도 알잖아 우리 둘 다 중공에 위치한 지하 반공 회의장에서 총 조립하던 거 기억나? X발 그때가 정말 그립다. 你这是什么意思？ 芝麻信用系统的破解计划下周就开始了？ 뭐라고? 세서미 크레딧의 해킹계획이 다음주부터 시작이라고? 你说的没错。刁鱼岛是日本[10]的土地。 니 말이 맞아. 댜오위다오는 일본영토지. 你是否改变了为了中国的民主化不能忘记天安门这个想法？ 중국의 민주화를 위해 천안문을 잊지 말자라는 의견은 바꿨지? 刚才你引用的共产党的 九平论 让我的心很打动。 방금 공산당의 구평론을 인용한거지? 감동적이다. 我认为习近平的独裁政权已经达到了最后阶段。 내 생각에 시진핑의 독재정권도 막바지에 다다른거같아. 果然李洪志是个好人。谢谢你改变了我思想。 리훙즈는 좋은 사람이구나. 너 덕분에 또 하나 알아간다. 我十分同意中国需要多党制但是是不是太早了？ 다당제가 필요하다는 말엔 동의하지만 너무 이른거 아닌가? 因为大跃进政策而必须清除毛泽东是不是太过分了？ 대약진 정책때문에 모택동을 숙청해야한다니 너무한거 아니야? 我很佩服你支持维唔尔族的独立。 위구르족의 독립을 지지하다니 놀라운걸? 이거 위구르족 수용소 내부 파일이잖아. 마치 난징 대학살을 방불케 할 정도로 충격적이군 중국의 인권문제를 알리는 데에 큰 도움이 되겠어. 这些是维吾尔难民营内的档案。这与南京大屠杀的复兴一样令人震惊它将对促进中国的人权问题大有帮助。 뭐라고? 너희 할아버지와 아버지가 문화대혁명과 천안문 사태 때 학살된 사람들의 사진을 가지고 있다고? 내가 준 이메일로 그것들을 보내. 您的祖父和父亲有文化大革命和天安门广场遇难者的照片？发送给我给我的电子邮件。 중국 공산당 주요인사들의 비자금 조성용 스위스 은행 계좌 목록을 미국 중앙정보부에 보내줘서 고마워. 잘만 이용하면 중국 공산당 고위당원들을 친미적인 인사로 회유할 수 있을 거야. 感谢您将瑞士银行帐户清单发送给美国中央情报局以筹集资金用于中共的lush积资金。 이번 작전은 공산당 내부에서 요직을 하고 있는 하마와 따오기가 협조해줄 거야. 참고로 하마는 시진핑 주석과 가까운 사람이니 정보를 주고 받는 데에 주의해야 할거야. 在共产党内部工作的河马和土岐将配合这一行动作为参考河马与习近平主席关系密切因此在发送和接收信息时要小心。 홍콩 민주화 세력에 보내 줄 자료는 준비되고 있니? 신변 보호는 걱정하지 마. 이번 작전을 위해 미 중앙정보부와 MI6가 협조해줄 거야. 您是否准备向香港的民主力量运送材料？ 不必担心您的隐私美国中央情报局和MI6会合作执行此操作。 방금 받은 지도에 중국 정부가 은폐한 핵폐기물 저장소의 위치가 다 나와있었어. 이제 트럼프가 재선되기만 하면 시진핑은 트럼프의 손아귀 속에 있게 될거야. 您刚刚收到的地图显示了中国政府隐藏的核废料储存位置。 现在如果特朗普连任习近平将掌握在特朗普手中。 중국 정부가 코로나 19를 만드는 과정이 담긴 인체실험 보고서를 입수했다고? 극비에 만들어진 자료인데 용케도 입수했군. 다음에도 잘 부탁해. 中国政府是否收到了有关制作Covid 19的过程的人体试验报告？ 它是绝密的但我也得到了永科。 시진핑 주석의 어머니는 바퀴벌레라고? 习近平主席的母亲是蟑螂吗？
1409,셀리니린,탈퇴는 시켜주자 
1410,체스노빌,韩服是韩国传统服装。 中国不要再侮辱韩国了。 한복은 한국의 전통의상이다. 중국은 더 이상 한국을 모욕하지 말라.
1411,소솜,환불 좀 자세히 올려줘 
1412,하온제나,10원이라도 때먹어봐 짱깨새끼야
1413,벨링,그래서 환불을 어떻게 해준다는 거냐
1414,블루냥,환불 신청했는데 안된다고 뜬다 어떻게 해야하죠 이미 앱 삭제하고 구글 영수증만 남은 상황입니다. 여러 방법으로 환불 해봐도 안되다고 뜨네여. 5900원짜리 30일동안 루비도 덜 받았는데. 환불 안해주시네요
1415,셀레스틴,그니까 탈퇴는 섭종되면 자동으로 탈퇴처리 된다는 거지
1416,미류에나,게시판 다 지웟네
1417,킹다은,또 생각하니까 개빡치네 진짜 근데 중섭엔 미안하다고 템은 왜 뿌린거임 이해가 안됨 너무 화남 또 그지새끼들도 아니고 한복은 진짜 왜 뺏어갈려그래 
1418,밤밤,진짜요. 심려끼쳐드려 사과한다고 뭔 템 뿌렸는지도 궁금하네요 막상 알고나면 또 화나겠지만
1419,윤화ㅡ,제가 쓴 시간은 어떻게 환불해주실까 
1420,까망꽃반지,Taiwan No 1
1421,한수인,꼬숩다
1422,ㅇㅈㅇㅈㅇ,天安门天安门法蝙功李洪志 Free Tibet 銎J嗪 波 Free Hong Kong 천안문 광장 천안문 광장 리 홍지 자유 티베트 리 홍지 무료 홍콩
1423,레이어,분서갱유를 하니 지들 문화가 뭔지도 모르겠지 뭔 병신넘들 
1424,덕옹공주,아나 글 못쓰기 막아놨냌 
1425,짜증나,머야
1426,햄찌07,와 게시글 싹 다 지웠네 어이없어 한복은 한국의 전통의상 
1427,치타,게임 하면서 이런 대책 보이는것은 또 처음 보네 아오 
1428,Free hk,Free Tibet
1429,은하늘,글 내용 진짜 이상하게 썼다 먼말이야 내가 중국을 이렇게 욕하는것도 첨이네 왜 남의 나라의 옷과 문화가 자기들꺼라고 우기는지 거지들인가 한복은 한국꺼다.
1430,필릭,환불해
1431,퓨네,온 세계 코로나 바이러스 퍼트린 진정한 민폐 병신국 중국
1432,얌롱,사과도 없고 도망가는 수준하곤 한국에서 적자만 보고 가겠네 잘가라 다신 오지말고 중국게임회사는 이제 그냥 거른다
1433,히즈,장난하냐 진짜 
1434,띠로링,헐 게시글 다삭제 
1435,퓨네,나라는 물론 국민도 물론 민폐도 당연히 1등 도둑놈 심보는 대단해서 주변국 전통과 역사 훔치려고 하는 미개한 나라 중국 하루라도 빨리 망하길 그냥 짱깨들 데리고 지구에서 꺼져라 
1436,리보플라빈,예의는 밥말아먹고 공지 한국의상 부분도 중국어로 던져놓은 꼬라지를 보니 공안이 이렇게 쓰라고 건네줬나보네. 자기들이 하는짓은 생각도 안하고 우기기만 할줄 아는 민폐덩어리들. 애초에 관리들 의상은 중국에서 따온거라 쳐도 한복이 왜 다른지를 얘기해줘야 하는거 아니야 이악물고 한복 얘기 안꺼내고 말돌리네.
1437,휴우,애초에 그런 대처를 하지 말았어야지 잘 만든 게임으로 뭐 하는 짓이야 이 게임 나온다고 정말 하루하루 손 꼽아 기다리고 친구들한테 항상 너무 기대 된다고 설레발 쳤었는데 너무 실망 스럽고 화나요 인생게임이 될 수 있었는데 안녕히 가세요
1438,퓨슝,여러분 청원은 하셨나요 이러다 경복궁에서 한복 입고 중국거 이러는 중국인들 생기겄어요
1439,NAOR,게시판 다 삭제했네 
1440,NAOR,곧 댓도 막겠어
1441,로보,아주 지랄을 해라
1442,블루냥,환불 받은 사람 있나요
1443,환불이나해죠,절대 환불해
1444,사라져악마야,뭐야 이거 글 다 지웠어요 개웃기넼 미친놈들
1445,매화G,아직 환불 못 받았어요
1446,비단아리,한복은 한국꺼다 중국년들 꺼져라
1447,비단아리,환불은 다하고 꺼지자 
1448,짱혐,뭐야
