id,유저ID,내용
132,앵두나무,근데 이거 올리는 한국인 게임사 직원들 현타 올듯 자괴감 들고 괴로울거 같아 파이팅
133,즈나,그래서 우리 돈은
134,스봉,존나 웃기네 올해 최대의 유우머다 전 세계의 14억이나 이 중화사상에 세뇌되어 있을 거 생각하면 앞길이 막막하다
135,아이틴,돈 먹은거 내놔 
136,루예나,환불 관련 공지글 좀 띄워주시죠 설마 먹튀하고 가려는건 아니겠죠 다국적으로 게임 운영하는 회사가
137,정리사,대박
138,usbo,한복이 무슨 니들거냐고 아 홧병나
139,까깡,니들 겜 접는김에 다접어라
140,DIKIKO,내가 얼마나 이 게임을 기다렸었는데 사건 터지고 정 떨어지고 조금 기대한 내가 잘못이지 섭종 
141,askfe,한복을 왜 짱깨 전통의상이라고 홍보를 하려고해
142,아이틴,진짜 이 사건 이후로 게임 다 삭제할 예정
143,닉키,헐 공지로 떴다 
144,YUM1,한복은 한국의상인데 중국전통문화 
145,까리스찬,와 찐공지됐다
146,Hillen,환불해 씨발
147,짱깨안사요,그래서 환불은요
148,131,야 근데 딸랑 이거쓰고 가냐 이거 쓸라고 가입했냐 유저 좆같이 본 건 사과 안하네 느그 기분 잡치게 했다고 꼽주는 거네 끝까지 한국유저 개좆만도 못하게 보네 그러니까 망하지 등신새끼들이 지들이 자처해놓고 피코도 아니고 누구 대가리 위에서 회장님 노릇할라 그러네
149,Naela2,아 페이퍼게임즈야 한복 느그꺼 아님
150,꿀떡22,다른 나라의 문화를 도둑질해놓고 뻔뻔하게 중국을 모욕했다고 마지막 한계를 넘었다고 말하는겁니까 짱깨새끼야
151,김윤탱,와 대박 본사에서도 한복을 중국옷이라고 생각하나보네 응 잘가고 개인정보 유출 건은 어떻게 생각하는지
152,달나라,레전드다 진짜 정말 만나서 더러웠고 다시는 만나지 맙시다 한복은 한국의 전통의상입니다. 남의 나라 전통 문화 신념 빼앗지 마세요
153,로앙아귀화해,미친새끼들이 
154,물개쨩,읽으면 읽을수록 개소리가 난무하네 한계는 니들이 먼저 넘었구요 다시는 한국 와서 니네 ㅈ같은 사상 들고 지랄하지 마세요 제발 우리도 니네 똥꼬 빨아줄 생각 없으니까 
155,베르,한복은 한국의 전통 복식입니다. 무슨 소리를 지껄이는거야 
156,유 채,이 뭔 멍소리야 
157,라달,지랄마 개새야 우리 개인정보 다 그쪽에 넘겨놓고선 어디서 피코질이야. 내가 중국엔 별생각 없었는데 너네땜에 확실히 알고간다 착짱 죽짱
158,라달,도대체 너희 사료 어디에 한복이 너네거란 말이 있는데 고작 드라마 패션쇼 갓 비스무리한 그림 그거 갖고 한복을 너희거라고 하는거야 아 너네 그런 사료도 없지 문화대혁명때 마오쩌둥둥이가 다 태워버렸으니까 너희 그 위대하신 마오쩌둥이가 한 문화대혁명 다시 뒤로 돌리지말고 한복 그만 건드리고 너네나라로 꺼지렴 한복은 민주화운동의 상징이다. 한푸도전 으로 민주주의를 실현하려는 중국인들의 열망을 느꼈다. 너희들의 용기를 지지한다. 응 시바 엿이나 먹어 진짜 개빡치네 정성들여서 딸래미 키워놨더니 남의 딸이엇던거임
159,라쿤r,겁나 웃기네요 잘가주세요. 중국의 개가 된 파페사씨 꼭 걸어가다 발 삐끗해서 넘어졌는데 거기가 벼밭이라 진흥탕에 벌래들이 많이 모여있는 곳이길 바랄께요
160,꿀떡22,어 사업접든가 다신 오지마
161,흰월,갈땐 가더라도 환불은 다 해주고 강 
162,듬드미,환불하고 떠나세요.
163,비셴느,아니 이게뭐얗  
164,퍼 플,와 운영진들 다 중국인이었음 레게노네 진짜 중국인이면 제발 적당히 좀 하시고 설령 한국인이라면 나라 떠나주세요 
165,Jenny,끝까지 한복이 중국꺼라고 하네 씹할련들
166,여우같은걸,환불해줘
167,새히,우리 개인정보는 
168,엘데에나,이거 실화야 아하 그러시구나 내가 이딴 ㅈ같은겜에 빠져살았다니 돈 뱉고 갠정보도 다 뱉고가 이것들아 진짜 개빡친다 
169,엘데에나,진짜 역겹다 
170,용과,와 최단기록 달성인가
171,닉키,서든어택2도 이정도 기간은 아니였죠
172,용과,서든2는 두달이었나 그래도 방송타고 좀 오래가긴 했는데 역대급이네요
173,WYYWY,니네는 뇌가 없는거니 아니면 그냥 태생부터 멍청한거니 딴나라 문화를 지들 꺼라고 우기는거 보면 
174,라냔시,와 끝까지 도둑질 하려는거봐 쟤넨 가오도 없냐 근본없는 짓을 하네 
175,청란,끝까지 중국문화라 하시네요. 사과보단 회피와 자기합리화 같기도 하고 수고하세요.
176,례늄,개쩌네
177,나린,환불해줘 제발 내 시간이 너무 아깝다
178,나린,개인정보 폐기랑 환불 공지 제대로 올려라 진짜 단체로 소송 걸고 싶어진다
179,용과,환불이나 다 해주고 가십쇼 
180,문자,저기요 환불은요
181,시엘르,개웃기네. 결국 우리가 잘못했고 우린 너네를 한번 봐줬지만 선 넘었으니 한섭 종료한다는 소리네. 겜 회사한테 가스라이팅 당하는 건 처음이다. 개인정보나 폐지해라 이 ㅅ 아. 겜 계속 한다하던 개돼지들도 이제 끝났네 
182,Jenny,야 느그들 한국인이면 진짜 ㅈㅅ해라그냥 
183,케임,게임계에 큰 사건를 남기고 가시네요 훗날 역사로 기록되겠네요.
184,큐라소,가는길에 환불은 하고가세요
185,화비아,이새끼들아 진심으로 지껄이는거냐 야 시진핑 개새끼 해봐라.
186,여신이,아니 이렇게 끝낸다고요 돈은 다 뱉고 가셔야지 먹튀를 이렇게 당당하게 하는 회사는 또 처음이네
187,여신이,아 그리고 한복은 너네 나라꺼 아니니까 다신 돈벌려고 한국시장 기어오지마셈 중퀴벌레 ㅅ 들
188,임아름,뭐하는거야 환불도 알아서 해줘야지 점검도 약속시간도 또 안지키고 제정신 아니네 살다살다 모바일게임 하면서 이런적운 처음이네
189,짱깨멸종소취,짱깨수준 야 돈 다 토해놓고 가라 거지들아 먹고 튈 생각말고
190,하늘색깔,니들이 뭐가 그리 당당해
191,메그라뚜,이제 욕할꺼야 몰라 야 이 씨발새끼들아 니들이 그러고도 사람이냐 유저들 환불에 탈퇴에 다 안받아주고 개인정보 다 뺐으니까 이제 아주 튀시겠다 개새끼들이 어디가 니들 못가 빨리 탈퇴랑 환불 시켜줘 남들 다 피해보는데 니들만 또 좋지 씨발 중국을 믿는게 아니였는데
192,온님,돈이나 뱉어내세요
193,에르나,피해자 코스프레하진 말자 페이퍼게임즈야 니들이 피해 입었니 우리나라의상을 갖고 농락당한 우리가 피해를 입었지
194,Jenny,개인정보나 돌려내 씨발련들아 
195,유채,아 내 돈 내놔 
196,음악,걍 뒤지세요 씨발
197,또영,태그된 링크보는데 무슨 명나라때부터 한복이 먼저다라는 개소리를 짓걸이고 계시는것 같은데 청나라때도 우리나라옷감 질 같은거 따라하지 못해서 대한민국이 만든 옷을 사갔던게 너네 민족이야 우길거 우겨야지
