순위,단어,빈도
928,부정,2
929,뻔뻔,2
930,번호,2
931,벽람,2
932,북쪽,2
933,배상,2
934,북한,2
935,분명,2
936,사유,2
937,불가,2
938,보고서,2
939,불똥,2
940,배격,2
941,상관,2
942,븅신,2
943,보답,2
944,보라,2
945,븅신들,2
946,반성,2
947,박쥐,2
948,마켓,2
949,만이천원,2
950,루비,2
951,먹이,2
952,반도,2
953,말씀,2
954,망정,2
955,모바일,2
956,먹기,2
957,만약,2
958,밑밥,2
959,모야,2
960,멍,2
961,레알,2
962,메이드,2
963,모택동,2
964,만행,2
965,목숨,2
966,몸,2
967,막상,2
968,만하,2
969,몽골,2
970,미애,2
971,발전,2
972,밀고,2
973,발악,2
974,바가지,2
975,맛,2
976,릴리스,2
977,롤,2
978,망길,2
979,밖,2
980,문물,2
981,마디,2
982,문화인,2
983,반발,2
984,물건,2
985,발가락,2
986,물리,2
987,망상,2
988,무료,2
989,대로,2
990,땡깡,2
991,다운,2
992,돼지,2
993,닉넴,2
994,당국,2
995,대가,2
996,대출,2
997,동지,2
998,대표,2
999,대피소,2
1000,답답,2
1001,대화,2
1002,달리,2
1003,덧글,2
1004,동쪽,2
1005,덩이,2
1006,달이,2
1007,단어,2
1008,뒤통수,2
1009,도덕,2
1010,드라마,2
1011,단체,2
1012,당,2
1013,단호,2
1014,따위,2
1015,당첨,2
1016,독도,2
1017,떼놈,2
1018,독자,2
1019,다독,2
1020,닉네임,2
1021,러,2
1022,동네,2
1023,동무,2
1024,노잼,2
1025,깝,2
1026,눈가,2
1027,그래픽,2
1028,냄새,2
1029,교육,2
1030,노래,2
1031,기자,2
1032,근처,2
1033,길,2
1034,국내,2
1035,내년,2
1036,굴지,2
1037,금방,2
1038,기어,2
1039,금지,2
1040,노무,2
1041,금칙어,2
1042,구도,2
1043,날조,2
1044,눈막,2
1045,날짜,2
1046,남자,2
1047,능지,2
1048,을해,2
1049,개똥망,2
1050,개똥,2
1051,가짜,2
1052,고구려,2
1053,갈취,2
1054,고립,2
1055,감사,2
1056,고민,2
1057,고발,2
1058,공산주의,2
1059,거짓말쟁이,2
1060,블로그,2
1061,가용,2
1062,공카,2
1063,고작,2
1064,과거,2
1065,개좆,2
1066,가슴,2
1067,건국,2
1068,관광객,2
1069,훗날,2
1070,팀원,2
1071,혐,2
1072,황국,1
1073,하위,1
1074,호의,1
1075,하중,1
1076,화해,1
1077,파멸,1
1078,퇴짜,1
1079,흙탕물,1
1080,티비,1
1081,트리,1
1082,패션쇼,1
1083,한거자,1
1084,화낼,1
1085,편입,1
1086,팽,1
1087,평상복,1
1088,하드,1
1089,파스타,1
1090,페스티벌,1
1091,평소,1
1092,휴일,1
1093,평양,1
1094,하수,1
1095,평일,1
1096,퓡퓡,1
1097,한나라,1
1098,프사,1
1099,협상,1
1100,한단,1
1101,호군,1
1102,평화,1
1103,혼,1
1104,홍위병,1
1105,파악,1
1106,화남,1
1107,파오,1
1108,핍박,1
1109,파이,1
1110,파이팅,1
1111,포스트,1
1112,한적,1
1113,회장,1
1114,포인트,1
1115,틀,1
1116,파키스탄,1
1117,하루아침,1
1118,하사,1
1119,파티,1
1120,흐미,1
1121,포항,1
1122,희망이,1
1123,폭,1
1124,행패,1
1125,할로윈,1
1126,프로필,1
1127,티나,1
1128,현재상황,1
1129,특색,1
1130,합리화,1
1131,플레이어,1
1132,합심,1
1133,피드백,1
1134,합치,1
1135,호복,1
1136,항목,1
1137,패션,1
1138,표어,1
1139,패치,1
1140,항의,1
1141,필수,1
1142,항쟁,1
1143,화내,1
1144,화법,1
1145,화주,1
1146,해달,1
1147,핑계,1
1148,표준,1
1149,특징,1
1150,표현,1
1151,해명글,1
1152,홧병,1
1153,해방,1
1154,회,1
1155,해석,1
1156,푸아그라,1
1157,회의,1
1158,풀발,1
1159,퍽,1
1160,트럭,1
1161,횟수,1
1162,판단,1
1163,틀림,1
1164,후빨,1
1165,풍년,1
1166,하루하루,1
1167,핵,1
1168,핸폰비,1
1169,휴가,1
1170,판단력,1
1171,흑역사,1
1172,행사,1
1173,흡사,1
1174,행실,1
1175,행운,1
1176,판이,1
1177,코리아,1
1178,천벌,1
1179,직전,1
1180,천안문사태,1
1181,커뮤,1
1182,천원,1
1183,진절머리,1
1184,철판,1
1185,직장,1
1186,첨,1
1187,쭝궐런,1
1188,첨부,1
1189,캐릭터,1
1190,차례차례,1
1191,청계천로,1
1192,클린,1
1193,차로,1
1194,타요,1
1195,청년,1
1196,집단,1
1197,처우,1
1198,청와대,1
1199,테러,1
1200,통속,1
1201,체감,1
1202,지옥,1
1203,체제,1
1204,컨텐츠,1
1205,체크,1
1206,코디,1
1207,체크카드,1
1208,코앞,1
1209,체험,1
1210,쿠키런,1
1211,초고,1
1212,크루,1
1213,지부리,1
1214,쫄국,1
1215,초코,1
1216,탄압,1
1217,진출,1
1218,탈환,1
1219,초키,1
1220,짜장면,1
1221,태국,1
1222,태양,1
1223,쫙쫙,1
1224,텀,1
1225,차이점,1
1226,톈안먼,1
1227,짝,1
1228,천년,1
1229,차피,1
1230,카피,1
1231,칼날,1
1232,최후,1
1233,캡처,1
1234,짤,1
1235,추억,1
