일자	언론사	제목	키워드
20220207	아시아경제	'한복공정' 논란에 강민진 "중국서 사는 조선족 동포 입장 생각해야"	한복공정,논란,강민진,중국,조선족,동포,입장,생각,문화,조선족,동포,의복,존중,권리,문화패권주의,중단,역사,왜곡,베이징,동계,올림픽,개회식,행사,여성,한복,추정,전통,의상,등장,한복공정,논란,대선,후보,문화공정,반대,목소리,대표,강민진,청년정의당,중국,국민,동포,입장,생각,지적,대표,자신,페이스북,중국,국적,중국,영토,동포들,존재,한복,동포들,중국,국민,조선족,동포,자신들,문화,의복,국가,존중,권리,설명,중국,민족의상,한복,제외,중국,동포들,입장,느낌,사건,중국,반복,논란,역사,왜곡,맥락,사안,생각,중국,한복,한푸,기원,문화패권주의,역사,왜곡,중단,질타,대표,대한민국,이주사회,변모,민족,자신,문화,존중,포용력,국가,강조,한복공정,논란,4일,현지시간,베이징,동계,올림픽,개회식,시민,국기,전달,행사,행사,중국,구성원들,소수,민족,구성원,거대,오성홍기,전달,방식,진행,대표,소수,민족,여성,한복,누리꾼,한국,고유,복장,한복,문화,중국,소수,민족,오인,지적,교수,서경덕,성신여대,자신,페이스북,중국,문화,동북,공정,지적,분노,한복,한국,전통,의상,진실,세계,촉구,대선,후보,이재명,더불어민주당,대선,후보,페이스북,문화,문화,공정,반대,문구,게재,안철수,국민,후보,중국,당국,한푸,한복,한복,대한민국,문화,강조
20220207	세계일보	동북공정 모르나 ‘한복’ 입은 中 모델 내세워 “한푸”라 소개한 美 보그	동북,공정,한복,모델,한푸,소개,보그,캡쳐,보그,매거진,인스타그램,미국,유명,패션지,보그,Vogue,한복,디자인,의상,한푸,Hanfu,소개,인터넷상,비난,여론,보그,공식,인스타,그램,한복,의상,모델,사진,한푸,한족,통치,시대,양식,역사,의복,소셜,미디어,확산,한푸,열풍,웨이보,검색량,48억,틱톡,영상,조회수,477억,설명,16만,게시글,한국,네티즌,항의,한국,네티즌,한복,대한민국,전통의상,중국,동북공정,나라,문화,댓글,한복,한푸,표현,보그지,비판,게시물,모델,등장,여성,중국인,유튜버,시인,Shiyin,2년,한푸,한복,역사,존중,한복,한푸,영향,혐오,역사,제목,영상,업로드,논란,4일,국립경기장,중국,베이징,국립,경기장,베이징,동계,올림픽,개회식,한복,여성,소수,민족,의상,사람들,등장,모습,한복,중국,동북공정,4일,중국,베이징,동계,올림픽,개회식,중국,소수,민족,대표,한복,분홍색,치마,흰색,저고리,등장,퍼포먼스,국기,전달,진행,논란,올림픽,홍보,영상,중국,조선족,김장,한국,고유,전통놀이,장면,문화공정,모습,중국,동북공정,2002년,2007년,5년,고조선,부여,고구려,국가,한국,고대사,중국,지방,정부,왜곡,작업,연구서,백제,신라도,중국사,서술,한국,역사,침탈,모습,중국,한복,김치,한국,전통문화,한국,역사,문화,왜곡,우려속,대책,마련,목소리
20220207	매일경제	'한복공정'에 한국 발칵 뒤집혔는데 '한푸'로 소개한 미국 잡지, 모델 누군가보니	한복공정,한국,한푸,소개,미국,잡지,모델,개회식,베이징,동계,올림픽,한복,여성,등장,한북공정,논란,보그,미국,패션,잡지,중국,한복,의상,한푸,소개,한국,네티즌,비난,보그,1일,현지시간,공식,인스타그램,한복,전통,의상,사진,여성,모델,한족,중국,통치,시대,의상,소개,보그,웨이보,사회관계망서비스,SNS,중심,중국,인기,한푸,해시태크,중국,49억,조회수,기록,비디오,중국,470억,조회수,사진,사진,여성,모델,시인,예명,활동,중국,인플루언서,한국,전통,의상,한복,한푸,영향,주장,네티즌,비난,자신,유튜브,채널,영상,한복,한푸,영향,혐오,발언,역사,제목,영상,혐오,발안,입각,논쟁,영상,한푸,역사,보유,동아시아,국가,영향,한복,한푸,의복,형태,존중,영향,사실,인정,한국인들,한국인들,생각,혐오,발언,사실,입각,논쟁,강조,보그,인스타그램,한국,중국,누리,사이,갈등,한국,누리,역사,왜곡,역사공부,한푸,한복,짝퉁한복,한푸,한복,짝퉁,인구,전통,의상,나라,문화,비난,중국,누리,한푸,중국,전통,의상,자랑,문화,중국,56개,소수,민족,한국인들,한복,증거,반박,개막식,베이징,동계,올림픽,한복,유사,복장,여성,등장,논란,여성,분홍색,치마,댕기머리,여성,개회식,소시민들,국기,전달,퍼포먼스,등장,행사,중국,소수,민족,출신,대표,거대,오성홍기,전달,방식,진행,여성,소수,민족,대표,행사,참여,누리,한국,고유문화,문화,중국,소수,민족,오인,지적,대선,후보,중국,정부,목소리,대선후보,이재명,더불어민주당,대선,후보,문화,반대,문화,공정,문구,자신,페이스북,안철수,국민,후보,한푸,한복,한복,대한민국,문화,강조
20220207	매일신문	中 '한복 논란' 항의 안하는 정부 '저자세' 들끓는 비판	논란,한복,항의,정부,저자세,비판,정부,개막식,베이징,동계,올림픽,한복,논란,중국,존중,고유,문화,입장,전달,공식,항의,저자세,비판,외교,당국자,한복,세계,대표,문화,재론,여지,강조,항의,여부,기본,입장,바탕,건설적,지속,소통,대답,개막식,베이징,올림픽,한복,여성,중국,대표,민족,대표,출연,중국,한국,소수민족,취급,비판,중국,그동안,한복,기원,한푸,김치,원조,파오차이,주장,문화,왜곡,침탈,여론,반중,원인,초빙교수,신범철,백석대,초빙,교수,소수민족,소개,소수민족,나라,연결,중국,양해,정부,중국,이웃,국가,조화,유감,성명,정도,익명,요구,외교,전문가,단발성,그간,설명,여야,이례적,한목소리,중국,비판,이재명,더불어민주당,대선,후보,세대,반중국,심리,겨냥,중국,대국,의심,정도,납득,정책,시행,주장,국민,문체위원들,성명,중국,정부,규탄,주장,박병석,국회,의장,장관,황희,문화,체육,관광부,개막식,참석,거론,중국,동북공정,현장,대처,수수방관,중국,문화공정,대처,목소리,중국정책연구소장,김흥규,아주대,중국,정책,연구소장,중국,과도,행위,얘기,강조
20220207	머니투데이	"한복이 아닌 한푸라고?" 美 패션지 보그 SNS에 등장한 '한푸'	한복,한푸,SNS,패션지,보그,등장,한푸,보그,미국,패션지,Vogue,한복,의상,한푸,Hanfu,소개,논란,보그,인스타그램,공식,인스타,그램,한복,의상,모델,사진,보그,게시물,한푸,한족,통치,시대,양식,역사,의복,설명,소셜,미디어,확산,한푸,열풍,중국판,SNS,웨이보,한푸,검색량,48억,틱톡,한푸,영상,한푸,조회수,477억,16만,게시글,한국,누리,항의,한국,누리,한푸,한복,한복,대한민국,전통의상,동북,공정,중단,댓글,비판,게시,모델,등장,시인,Shiyin,언행,논란,중국인,유튜버,시인,2년,한푸,한복,역사,존중,한복,한푸,영향,혐오,역사,영상,한국,누리,설전,중국,정부,개회식,베이징,올림픽,대표,민족,한복,여성,등장,여성,댕기머리,한복,분홍색,치마,흰색,저고리,오성홍기,전달,퍼포먼스,참여,올림픽,홍보,영상,중국,조선족,김장,한국,고유,전통놀이,장면
20220207	조선일보	[7NEWS] 中 대놓고 ‘문화 공정’	문화,공정,안녕,7NEWS,올림픽,베이징,동계,개회식,한복,여성,조선족,대표,출연,중국,문화,침탈,논란,중국,소수민족,조선족,한복,과민,반응,이성,판단,올림픽,한복,국민,분노,지배,키워드,중국,정부,정책,소수,민족,통치,동북공정,대표,왜곡,한국,고대사,한복,김치,기원,논쟁,누적,거부감,폭발,중국,2002~2007년,공식적,진행,동북공정,고조선,부여,고구려,국가를,한국,고대사,중국,지방정부,왜곡,작업,2020년,한복,김치,중국,유래,중국,주장,한복공정,김치공정,서길수,서경대,교수,한복,근원,고구려,벽화,생각,고대사,왜곡,한복,중국,근거,마련,정치권,중국,비판,목소리,더불어민주당,이재명,대통령,후보,자신,페이스북,문화,문화,공정,반대,후보,국민의힘,윤석열,5일,제주,기자들,질문,고구려,발해,대한민국,자랑,역사,국민의당,안철수,후보도,한복,대한민국,문화,중국,당국,한푸,漢服,한복,韓服,정부,논란,중국,공식,항의,외교,당국자,한복,세계,인정,대표적,문화,재론,여지,중국,고유,문화,존중,문화,기초한,이해,증진,입장,전달,노력,번째,고대사,김치,한복,문화,공정,4일,개회식,베이징,동계,올림픽,한복,여성,조선족,대표,출연,중국,문화,침탈,논란,한국,문화,원류,중국,문화,제국주의,태도,기사보기,70주년,여왕,즉위,주년,목소리,왕실,폐지,엘리자베스,영국,여왕,6일,현지시각,재위,주년,영국,군주,사상,현대,세계사,4명,대기록,여왕,국민,이날,영국,영연방,시민,편지,충성,애정,겸허,감사,말씀,국적,신앙,연령대,사람들,선의,감사,기사,월급,세금,보험료,인상률,2배,5년,직장인,임금,17.6%,봉급,원천징수,근로소득세,사회보험료,2배,39.4%,한국경제연구원,한경연,고용,노동부,데이터,결과,근로자,임금,근로자,17.6%,기간,근로,소득세,사회,보험료,부담,36만,50만,39.4%,증가,한경연,월급,직장인들,체감,기사,외국,대학생활,급증,교환,학생,신청,코로나,유행,시작,고려대,입학,곽유안,여름,캐나다,캘거리대,교환,학생,출국,2년,수업,학교,카페,비대면,학교,행사,동아리,각종,모임,참여,곽씨,한국,해외,확진자,압도적,출국,한국,확진자,하루,방역,제약,통제,캐나다,캠퍼스,생활,기사,기스타벅스,지리산,자락,하동,녹차,경남,하동군,화개,가공공장,덕은리,하동,녹차,연구소,가공,공장,고온,살균기,살균,작업,찻잎,특수,맷돌,녹색,가루,손등,공장,직원,녹색,가루,손등,구멍,정도,입자,하동,자랑,가루,녹차,가루녹차,미국,시애틀,세계적,스타벅스,커피,브랜드,스타벅스,수출,현지,K-Matcha,가루녹차,영어표기,판매,국가대표,기사,거짓,불편,사실,민주주,선거철,소셜미디어,무장,거대,거짓,폭정,독재,형성,국제적,명성,티머시,스나이더,Snyder,교수,예일대,역사학,자신,블로그,문구,기사,김철중,아웃룩,코로나,중소병원,폐업,응급,환자,생존,아파트,서울,강남구,남성,7시,의식,발견,복용,약물,과다,의심,신속,응급,조치,출동,구급대,인근,응급,센터,수소문,중증,환자,처치,여력,응답,결국,환자,10시,경기도,분당서울대병원,이송,처치,지연,환자,뇌손상,기사,7NEWS,구독자,의견,환영,이메일,감사,mailto,mlive,chosun.comconnect,chosun.com,7NEWS,구독,주말,구독조선일보,중구,세종대,21길,수신거부
20220207	서울신문	[사설] ‘한복공정’ 보고도 無항의 황희 , 어느 나라 장관인가	한복공정,황희,나라,장관,중국,베이징,동계,올림픽,개회식,한복,조선족,등장,중국,소수,민족,오성홍기,전달,장면,조선족,여성,흰색,저고리,분홍,치마,세계,전파,홍보영상,상모,장구,모습,등장,베이징하계,올림픽,중국,한복,조선족,출연,한복공정,논란,촉발,한복,중국,소수,민족,상징,포장,한국,고유,문화,중국,뿌리,문화침탈,한복,장면,직관,관람,장관,황희,문화,체육,관광부,실익,항의,장관,우리나라,대표,개회식,참석,공식,사절,눈앞,조국,고유문화,부정,논란,다음날,제기,나라,장관,중국,고구려,발해,중국,역사,편입,동북공정,시도,한복,韓服,한푸,漢服,표기,한족,정통,의상,주장,한복,한국,전통문화,사전,영국,옥스퍼드,hanbok,외교,감정,사안,항의,한마디,대중,對中,굴종,소리,정부,올림픽,정신,중국,문화적,행태,공식,항의,한복,고유,문화,세계,문화적,외교적,노력,장관,한복
20220207	아시아경제	'한복공정' 난리인데 한복 '한푸'로 소개한 美 패션잡지	한복공정,난리,한복,한푸,소개,패션,한푸,보그,한족,중국,통치,시대,의상,베이징,동계,올림픽,개회식,한복,추정,의상,여성,등장,한복공정,논란,미국,패션,잡지,보그,중국,한복,의상,한푸,Hanfu,소개,보그,1일,현지시간,공식,인스타,그램,한복,전통,의상,여성,모델,사진,게재,보그,사진,한족,중국,통치,시대,의상,소개,웨이보,사회관계망서비스,SNS,중심,중국,인기,설명,한푸,해시태그,중국,49억,조회수,기록,비디오,중국,470억,조회수,당장,중국,젊은이,사이,영상,보그,모델,등장,여성,쉬잉,shiyin,예명,활동,중국,인플루언서,의복,한국,전통,한복,한푸,영향,의상,주장,누리,설전,보그,게시글,누리꾼,사이,갈등,한국,누리,역사,왜곡,한푸,한복,지적,중국,누리,한푸,중국,전통,의상,자랑,문화,반박,4일,현지시간,베이징,동계,올림픽,개회식,한복,유사,복장,여성,등장,논란,여성,흰색,저고리,분홍색,치마,댕기머리,행사,여성,개회식,소시민들,국기,전달,퍼포먼스,등장,행사,중국,소수,민족,출신,대표,거대,오성홍기,전달,방식,진행,여성,소수,민족,대표,행사,참여,누리,한국,고유문화,문화,중국,소수,민족,오인,지적,교수,서경덕,성신여대,중국,문화,동북,공정,분노,한복,한국,전통,의상,진실,세계,촉구,대선,후보,목소리,이재명,더불어민주당,대선,후보,페이스북,문화,문화,공정,반대,문구,게재,안철수,국민,후보,중국,당국,한푸,한복,한복,대한민국,문화,강조
20220207	한국일보	[사설] 中 '한복공정' 논란, 분노뿐 아닌 진실 알리는 노력해야	한복,논란,분노,진실,노력,중국,베이징,동계,올림픽,개회식,한복,차림,여성,등장,중국,한복,자국,문화,공개적,주장,비판,중국,방영,영상,올림픽,축하,한복,차림,장구,강강술래,지린성,조선족,모습,사실,주자,유력,대선,정당,문화,공정,반대,대한민국,정체,도전,한복,대한민국,문화,유감,한복,차림,여성,전통,복장,중국,소수민족,중국,국기,오성홍기,일원,참가,식전,영상,조선족,신장,장쑤,소수민족,전통복,차림,등장,하계올림픽,베이징,하계,올림픽,식전,행사,옌볜,가무단,한복,부채춤,중국,한족,제외,인구,소수,민족,다민족,국가,국가,행사,의도,한복,등장,불쾌감,중국,초반,정부,차원,고구려,발해,역사,자국사,왜곡,동북공정,외교,갈등,한복,김치,고유문화,자국,유래,주장,급속,경제,발전,배경,중국,애국주의,한복,논란,외교,확대,자국,제일주의,중국,문화,침탈,경계심,백과사전,중국,포털,한복,한푸,漢服,기원,소수,민족,의상,설명,전통문화,간직,남북한,안중,중국,고유,문화,존중,요구,외교,당국,대응,중국,억지,주장,전통문화,세계
20220207	국민일보	개막식 ‘한복 논란’ 항의 안한다는 외교부 “中, 양해 구했어야”	논란,개막식,한복,항의,외교부,양해,한국,소수민족,취급,유감,표명,정부,비판,여야,규탄,여야,이례,한목,소리,외교부,개막식,베이징,동계,올림픽,한복,논란,중국,고유,문화,존중,문화,기초,이해,증진,입장,전달,노력,6일,외교부,양측,상호이해,우호,정서,증진,노력,중국,정부,공식,항의,방침,저자세,비판,외교,당국자,한복,세계,대표,문화,재론,여지,강조,항의,여부,기본,입장,바탕,건설적,지속,소통,대답,개막식,베이징,올림픽,한복,여성,중국,대표,민족,대표,출연,중국,한국,소수민족,취급,비판,중국,그동안,한복,기원,한푸,漢服,김치,원조,파오차이,泡菜,주장,문화,왜곡,침탈,여론,반중,원인,초빙교수,신범철,백석대,초빙,교수,소수민족,소개,소수민족,나라,연결,중국,양해,정부,중국,이웃,국가,조화,유감,성명,정도,익명,요구,외교,전문가,단발성,그간,설명,여야,이례적,한목소리,중국,비판,이재명,더불어민주당,대선,후보,세대,반중국,심리,겨냥,중국,대국,의심,정도,납득,정책,시행,주장,국민,문체위원들,성명,중국,정부,규탄,주장,박병석,국회,의장,장관,황희,문화,체육,관광부,개막식,참석,거론,중국,동북공정,현장,대처,수수방관,중국,문화공정,대처,목소리,중국정책연구소장,김흥규,아주대,중국,정책,연구소장,중국,과도,행위,얘기,강조
20220207	국민일보	[사설] 중국의 ‘한복 공정’ 유감 정부는 왜 할 말 못하나	중국,한복,공정,유감,정부,중국,세계인,올림픽,평화,축제,문화공정,논란,개회식,중국,베이징,동계,올림픽,흰색,저고리,분홍색,치마,조선족,여성,등장,발단,소수,민족,대표,오성홍기,전달,순서,국민,한국,역사,중국,동북공정,문화공정,한복,공정,중국,성토,개회식,한복,사람,중국,소수민족,조선족,문화,복식,소개,맥락,중국,한국,문화,자신,왜곡,와중,문화,공정,논란,보통,소수,민족,민족,국가,성장,한복,개회식,참석,장관,황희,문화,체육,관광부,한국,중국,세계,나라,존재,오해,대목,아쉬움,영어사전,영국,옥스퍼드,한복,hanbok,한국,전통문화,소개,단어,한국,대중문화,세계,아시아,문화,중심,중국,한국,이동,중국,한복,주장,베이징,하계,올림픽,개회식,올림픽,홍보,영상,한복,무용수들,포털사이트,중국,최대,포털,사이트,바이,백과사전,한복,한푸,漢服,기원,정의,중국,사극,한복,명나라,한복,표절,시비,분노,국민,반복,SNS,한복,사진,한복,정부,대응,소극적,외교부,중국,고유,문화,존중,입장,전달,공식적,항의,의사,외교,감정,대응,자제,사안,입장,전달,한복,공정,정부,대응,촉구
20220207	조선일보	與野 한목소리로 “남의 것 탐하지 말라” 정부는 공식항의 안해	與野,한목소리,정부,공식,항의,안해,정치권,개막식,중국,베이징,동계,올림픽,한복,여성,민족,중국,소수,등장,중국,비판,목소리,더불어민주당,이재명,대통령,후보,이날,자신,페이스북,문화,문화,공정,반대,창원,경남,방문,자리,축제,문화공정,일각,중국,정부,차원,문화공정,의지,용납,생각,전달,후보,국민의힘,윤석열,제주,기자들,질문,고구려,발해,대한민국,자랑,역사,국민의당,안철수,후보도,한복,대한민국,문화,중국,당국,한푸,漢服,한복,韓服,대표,청년정의당,강민진,중국,국적,중국,영토,동포들,존재,한복,동포들,중국,국민,조선족,동포,자신들,문화,의복,국가,존중,권리,방중,박병석,국회,의장,중국,리잔수,栗戰書,전인대,상임,위원장,한국,진행,논란,입장,표명,6일,의장,이날,베이징,특파원,간담회,인구,중국,1억,명가량,소수민족,한족,제외,민족,소수,민족,관점,문화,이해,존중,정부,논란,중국,공식,항의,외교,당국자,한복,세계,인정,대표적,문화,재론,여지,중국,고유,문화,존중,문화,기초,이해,증진,입장,전달,노력,개막식,참석,장관,황희,문화,체육부,현지,기자들,항의,생각
20220207	중앙일보	美보그, 한복을 '한푸'로 올리자..."원조는 중국" 거든 中모델	보그,한복,한푸,원조,중국,모델,미국,유명,패션지,보그,Vogue,한복,디자인,의상,한푸,Hanfu,소개,논란,보그,인스타그램,공식,인스타,그램,한복,의상,모델,사진,게시,한푸,한족,통치,시대,양식,역사,의복,양식,설명,소셜,미디어,확산,한푸,열풍,웨이보,검색량,48억,틱톡,영상,조회수,477억,16만,게시글,한국,네티즌,항의,상황,게시,모델,등장,여성,시인,Shiyin,중국인,유튜버,2년,한푸,한복,역사,존중,한복,한푸,영향,혐오,역사,제목,영상,업로드,한복공정,논쟁,한복,양국,네티즌,설전,중국,베이징,동계,올림픽,개회식,한복,분홍색,치마,흰색,저고리,여성,중국,소수,민족,대표,퍼포먼스,국기,전달,진행,논란,개회식,한복,참석,장관,황희,문체부,소수민족,양국,오해,양국,소지,순간,실익,계획,공식,항의
20220207	중앙일보	중국, 개막식에 한복 등장시켜 또 반중 정서 키웠다	중국,개막식,한복,등장,정서,베이징,겨울,올림픽,시작,문화공정,나라,고유문화,중국,원조,주장,행태,논란,국립경기장,중국,베이징,국립,경기장,개막식,행사,한국,전통,의복,한복,등장,개막,미국,주도,외교,보이콧,선수단,참가,정부,대표단,동참,여론,양분,올림픽,시작,한복,논란,정서,분위기,개막식,중국,대표,민족,차례,오성홍기,전달,퍼포먼스,포함,조선족,여성,댕기머리,한복,등장,장면,개막식,개막식,조선족,자치주,지린,吉林,소개,영상,한복,윷놀이,강강술래,장면,베이징,여름,올림픽,개막식,한복,아리랑,세계,올림픽,개막식,한복,등장,만큼,중국,문화공정,개막식,행사,한복,중국,소수,민족,고유,의복,인식,국제사회,중국,한복,억지,2020년,중국,음식,절임,채소,파오차이,泡菜,제조법,국제표준화기구,ISO,등록,김치,원조,파오차이,왜곡,주장,중국,관영,인민일보,자매지,환구,시보,중국,김치,산업,국제,표준,제정,보도,문화,왜곡,4월,중국,액션,배우,무술,기원,중국,태권도,중국,발차기,기원,주장,중국,과거,김치,태권도,원조,주장,중국,문화공정,정서,고착화,원인,작용,서울대아시아연구소,중앙일보,빅데이터,2021년,851만,네이버,기사,결과,댓글,기사,주장,한복,원조,태권도,기원,중국,시도,문화,왜곡,보도,중국,시도,문화,왜곡,한국,정부,침묵,미온적,대응,정서,원인,작용,지성호,국민,의원,외교부,제출,자료,교과서,일본,역사,왜곡,정부,관계자,주한,일본,대사관,초치,횟수,6건,항의,논평,2건,성명,2건,기간,중국,역사,교과서,양제,고구려,정벌,왜곡,공식,대응,외교,당국자,한복,논란,중국,고유,문화,존중,문화,기초,이해,증진,입장,지속적,전달,한복,세계,인정,대표적,문화,재론,여지,베이징,올림픽,정부,대표단,장관,황희,문체부,소수민족,양국,오해,양국,소지,순간,실익,계획,공식,항의,시사,장관,한복,개막식,참석,박병석,중국,리잔수,표명,중국,개회식,참석,방문,박병석,국회,의장,리잔수,栗戰書,중국,전국,인민,대표,대회,전인대,상무위원장,의장,화상간담회,특파,원단,화상,간담회,한복,다양성,기초,이해,증진,절감,관점,개방,문화,콘텐트,전면,중요,한국,진행,논란,거론,운동,역사,수호,교수,서경덕,성신여대,장면,중국,최대,포털,사이트,바이,백과사전,한복,한푸,韓服,기원,샤이닝니키,중국,게임,한복,중국,복식,소개,중국,원조,기간,억지,주장,반복,동북공정,문화,동북,공정,근거,체육,철학자,김정효,서울대,외래,교수,미필,고의,단어,중국,사안,소수민족,프레임,구멍,모습,한국,문화,중국,문화,56분,간주,거만,프레임,올림픽,개막식,인류사,2030세대,소셜미디어,항의,문화,속성,정부,항의,대한체육회,어필,방법,지적
20220207	국제신문	한복이 중국 소수민족 전통옷? 문화 침탈 올림픽에 반발 확산	한복,전통옷,중국,소수,민족,올림픽,문화,침탈,반발,확산,개회식,개회식,자국민,의상,등장,정부,여지,문화,재론,항의,대응,여야,적극,중국,베이징,동계,올림픽,개회식,행사,한복,여성,중국,소수,민족,표현,여야,정치,한목소리,비판,정부,대응,촉구,생중계,세계,개회식,대표,소수,민족,오성홍기,전달,퍼포먼스,한복,카메라,포착,영상,베이징,동계,올림픽,홍보,한복,상모,등장,문화공정,논란,수석대변인,더불어민주당,박찬대,해프닝,중국,정부,문화,공정,중단,요구,국민,대변인,황규환,선대본부,논평,주권국가,문화침탈,규탄,한편,정부,외교,대중국,외교,정부,겨냥,대선주자들,가세,후보,민주당,이재명,문화,문화,공정,반대,SNS,후보,국민의힘,윤석열,고구려,발해,대한민국,자랑,역사,후보,국민의당,안철수,중국,당국,한푸,한복,강조,외교,당국자,한복,세계,인정,대표적,문화,재론,여지,중국,고유,문화,존중,문화,기초,이해,증진,입장,지속적,전달,정부,대표,개회식,관전,장관,황희,문화,체육,관광부,5일,순간,실익,계획,공식,항의,시사
20220207	경남신문	가고파	고파,문화공정,시작,동계올림픽,베이징,동계,올림픽,개막,코로나19,인권탄압,나라,외교,보이콧,중국,개막식,한복,등장,문화공정,논란,소시민들,국기,전달,중국,소수민족들,퍼포먼스,한복,공연자,등장,한복,중국,이미지,세계,중국,기간,고구려,발해,한반도,역사,자국,역사,동북공정,한복,한푸,소수민족,조선족,전통,의상,주장,노골적,문화공정,홍보영상,베이징,동계,올림픽,홍보,영상,한복,상모,장구,자신들,전통문화,묘사,논란,여론,정치권,중국,문화침탈,목소리,교수,서경덕,성신여대,SNS,중국,소수민족,조선족,대표,한복,등장,중국,한복,공정,세계,진실,여야,대선후보들,무례,행위,유감,문화,공정,반대,정부,항의,촉구,정부,침묵,한복,현장,직관,황희,장관,오해,국익,실리,언급,국가,문화,정체,자신들,역사,문화,여당,지적,방치,반중정서,중국,외교,걸림돌,진짜,실리외교,생각
20220207	경인일보	[참성단] 베이징 동계 올림픽의 한복	올림픽,베이징,동계,한복,중국,국력,21세기,본격적,역사,왜곡,계획,실행,2002년,5년,고구려,역사,중국,역사,둔갑,동북공정,대표적,위구르족,역사,조작,서북공정,티베트,역사,날조,서남공정,흉노,돌궐,몽골제국,유목제국,역사,중국,역사,편입,막북공정,동시다발적,소수민족,분리,걱정,중국,입장,역사왜곡,정략적,유용,민족적,역사적,치욕,독립국가,역사,훼손,전쟁,갈등,중국,동북공정,대한민국,문화,노략질,김치,원조,자처,아리랑,국가문화유산,지정,시진핑,트럼프,한국,역사적,중국,역사,기록,사실,왜곡,논리,압도,인내,한국,정부,국민,중국,베이징,동계,올림픽,한국,정서,폭발,중국,국기,56명,소수,민족,대표,한복,여인,포함,개막,공연,세계,송출,올림픽,보이콧,주장,중국,공식사과,요구,네티즌들,분노,하늘,북한,중국,거부감,20,,반발,MZ,세대,지지,대선주자들,정서,편승,중국,반발,후보,국민의힘,윤석열,공약,사드,추가,배치,비난,후보,민주당,이재명,대국,중국,직격,후보,고구려,발해,대한민국,자랑,역사,문화공정,모태,동북,공정,자체,부정,반중,정서,대선,캠페인,변수,정부,한복,차림,개막식,참석,장관,황희,문체부,외교,항의,입장,중국,한복,韓服,자국,문화,왜곡,이틀,하루,한푸,漢服,왜곡,신조어,정도,중국인,정부,왜곡,역사,문화,사실,장래,중국인들,대한민국,대만,홍콩,왜곡,역사,세뇌,중국인,상상,차원,미래,안보,대응,전략,수립,윤인수,논설,실장
20220207	경기일보	[지지대] 중국의 한복공정	중국,한복공정,한복,韓服,우리나라,고유,전통의상,1천,한복,전통성,고구려,고분,벽화,sim,6세기,신라,백제,유물,확인,조선,정조시대,신윤복,김홍도,풍속화,한복,등장,영어사전,영국,옥스퍼드,영어,사전,OED,한복,hanbok,한국,전통의상,정의,4일,개막,중국,베이징,동계,올림픽,개막식,한복,등장,중국,소수,민족,대표,참여,중국,국기,전달,소시민들,국기,전달,퍼포먼스,카메라,포착,분홍색,치마,흰색,저고리,댕기머리,여성,오성홍기,전달,주권국가,문화침탈,중국,한국,고유,문화,중국,전통문화,문화,중국,역사,동북공정,문화공정,교수,서경덕,성신여대,한복,사태,한복공정,교수,SNS,중국,소수민족,조선족,대표,한복,등장,중국,한복공정,실제,베이징,동계,올림픽,유치,기념,중국,제작,홍보,영상,얼음,한복,무용수들,상모,장면,중국,최대,포털,사이트,바이두,百度,백과사전,한복,한푸,漢服,기원,중국,누리,SNS,한국,한복,왜곡,김치,판소리,자신들,억지,주장,국민들,중국,문화,동북,공정,한복공정,분노,분노,한복,한국,전통의상,진실,전통문화,세계인들,소개,계기,정부,중국,침탈,막무가내식,문화,적극,대응,이연섭논설위원
20220208	매일경제	중국에 일침? 주한 미국대사 대리 "한국하면 한복"	중국,일침,주한,미국,대사,대리,한국,한복,개회식,베이징,동계,올림픽,등장,한복,발생,문화,공정,논란,남자,쇼트,트랙,편파,판정,반중,여론,대리,크리스토퍼,코르소,주한,미국,대사,한복,한국,문화,강조,코르소,대사,대리,자신,트위터,한국,김치,K팝,K드라마,한복,한국어,영어,코르소,대사,대리,한복,손가락,하트,전통부채,모습,사진,한국,원조,한복,의미,해시태그,riginalHanbokFromKorea,주한,미국,대사관,계정,공식,트위,코르소,대사,대리,리트윗,개막식,한복,베이징,올림픽,개막식,조선족,여성,등장,중국,한복,자국,문화,전유,비판,와중,주목,중국,한복,한푸,자신들,문화,흡수,비판,제기,미국대사,해리,해리스,주한,미국,대사,김치,종주국,한국,생활,행복,중국,언론,김치,중국,유래설,대사,해리스,이슈,개막식,베이징,동계,올림픽,한복,유사,복장,여성,등장,논란,여성,분홍색,치마,댕기머리,여성,개회식,소시민들,국기,전달,퍼포먼스,등장,행사,중국,소수,민족,출신,대표,거대,오성홍기,전달,방식,진행,네티즌,한국,고유문화,문화,중국,소수,민족,오인,지적
